Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
ADYEN.AS,ADYEN,Technology,1026.6,-35.87,21.41,1.05,43.62,12.9,18.9,1385.25,34.94
UBER,"Uber Technologies, Inc.",Technology,75.76,-25.72,17.29,6.42,13.32,85.5,12.2,101.81,34.38
ADP,"Automatic Data Processing, Inc.",Technology,277.62,-5.73,20.72,2.58,23.46,9.8,6.8,287.6,3.59
DSY.PA,DASSAULT SYSTEMES,Technology,21.02,-29.83,14.64,3.13,23.4,31.8,2.2,23.71,12.8
UNH,UnitedHealth Group Incorporated,Healthcare,397.14,-13.97,17.7,1.08,7.13,61.5,0.4,475.23,19.66
TEM,"Tempus AI, Inc.",Healthcare,64.62,-38.06,-2689.14,,-20.11,0.0,21.6,67.47,4.41
OSCR,"Oscar Health, Inc.",Healthcare,32.25,-3.87,17.14,,7.96,0.0,70.4,30.4,-5.74
HIMS,"Hims & Hers Health, Inc.",Healthcare,27.71,-57.56,36.35,2.53,-12.75,0.0,38.2,31.23,12.71
DECK,Deckers Outdoor Corporation,Consumer Cyclical,85.81,-31.29,10.26,1.05,15.23,1.1,5.7,122.81,43.12
ADBE,Adobe Inc.,Technology,266.51,-28.14,9.69,0.65,35.33,7.9,12.7,276.58,3.78
ACN,Accenture plc,Technology,186.72,-34.53,12.74,1.36,16.96,9.0,5.6,184.19,-1.36
DLO,DLocal Limited,Technology,15.52,-5.95,13.57,,16.05,28.6,55.8,18.7,20.49
FDS,FactSet Research Systems Inc.,Financial Services,301.96,-18.49,15.32,1.34,30.54,-9.6,6.4,259.06,-14.21
WKL.AS,WOLTERS KLUWER,Industrials,68.86,-38.92,10.95,1.73,26.87,8.9,-0.6,89.43,29.88
LULU,lululemon athletica inc.,Consumer Cyclical,100.61,-55.48,10.87,0.77,13.21,-5.9,-4.3,110.75,10.08
NVO,Novo Nordisk A/S,Healthcare,46.6,-23.74,13.63,3.3,42.54,-20.6,2.1,47.2,1.28
GEV,GE Vernova Inc.,Industrials,941.95,-21.24,37.27,1.84,7.47,32.8,21.9,1236.43,31.26
BE,Bloom Energy Corporation,Industrials,252.87,-28.01,51.39,0.57,17.11,0.0,165.5,275.08,8.79
VRT,"Vertiv Holdings, LLC",Industrials,280.53,-26.15,30.75,0.95,20.36,53.0,24.1,338.15,20.54
CEG,Constellation Energy Corporatio,Utilities,298.96,-27.16,22.41,3.74,8.66,-46.8,23.0,348.3,16.51
NEE,"NextEra Energy, Inc.",Utilities,83.43,-14.26,19.01,1.68,31.52,53.1,12.4,98.39,17.93
SRE,DBA Sempra,Utilities,84.04,-16.23,15.18,0.7,28.33,71.3,-0.1,101.82,21.16
VST,Vistra Corp.,Utilities,149.3,-31.8,14.4,0.37,13.77,-6.2,-5.5,217.42,45.63
V,Visa Inc.,Financial Services,375.07,-2.72,25.0,1.7,66.13,10.2,14.4,419.36,11.81
MA,Mastercard Incorporated,Financial Services,579.21,-3.66,25.15,1.51,61.11,22.1,14.1,670.92,15.83
MCO,Moody's Corporation,Financial Services,493.55,-9.15,26.07,1.84,49.47,56.7,15.1,561.9,13.85
SPGI,S&P Global Inc.,Financial Services,443.51,-14.53,21.94,1.95,44.79,17.7,10.4,520.3,17.31
ISRG,"Intuitive Surgical, Inc.",Healthcare,366.7,-39.28,30.38,1.6,33.6,26.5,18.5,478.01,30.35
AXON,"Axon Enterprise, Inc.",Industrials,515.67,-34.9,48.77,2.37,5.17,-18.2,35.3,693.4,34.47
ABNB,"Airbnb, Inc.",Consumer Cyclical,181.94,-5.95,29.61,1.73,21.01,33.4,16.5,179.46,-1.36
ANET,"Arista Networks, Inc.",Technology,193.78,-9.82,37.55,1.45,45.39,35.7,37.7,241.04,24.39
BSX,Boston Scientific Corporation,Healthcare,47.8,-56.35,13.92,0.66,22.9,15.1,7.5,62.69,31.15
TTD,"The Trade Desk, Inc.",Communication Services,14.43,-74.41,14.5,1.06,14.21,-23.6,3.0,13.55,-6.08
NOW,"ServiceNow, Inc.",Technology,141.26,-27.46,28.22,1.02,4.06,-21.9,24.0,141.84,0.41
CRM,"Salesforce, Inc.",Technology,259.23,-3.37,16.19,1.05,21.38,118.9,10.8,272.13,4.98
SCHW,Charles Schwab Corporation (The,Financial Services,109.29,-4.58,14.0,0.92,52.28,42.6,20.9,124.95,14.33
