Ticker,Nombre,Razón
ADP,"Automatic Data Processing, Inc.",Upside consenso < 5% (3.6%)
DSY.PA,DASSAULT SYSTEMES,Ventas estancadas (2.2%)
UNH,UnitedHealth Group Incorporated,Margen Op. bajo (7.1%)
TEM,"Tempus AI, Inc.",Margen Op. bajo (-20.1%)
OSCR,"Oscar Health, Inc.",Margen Op. bajo (8.0%)
HIMS,"Hims & Hers Health, Inc.",Margen Op. bajo (-12.8%)
ADBE,Adobe Inc.,Upside consenso < 5% (3.8%)
ACN,Accenture plc,Upside consenso < 5% (-1.4%)
DLO,DLocal Limited,PEG distorsionado
FDS,FactSet Research Systems Inc.,Contracción en utilidades (-9.6%)
WKL.AS,WOLTERS KLUWER,Ventas estancadas (-0.6%)
LULU,lululemon athletica inc.,Ventas estancadas (-4.3%)
NVO,Novo Nordisk A/S,Ventas estancadas (2.1%)
GEV,GE Vernova Inc.,Margen Op. bajo (7.5%)
CEG,Constellation Energy Corporatio,Margen Op. bajo (8.7%)
SRE,DBA Sempra,Ventas estancadas (-0.1%)
VST,Vistra Corp.,Ventas estancadas (-5.5%)
AXON,"Axon Enterprise, Inc.",Margen Op. bajo (5.2%)
ABNB,"Airbnb, Inc.",Upside consenso < 5% (-1.4%)
TTD,"The Trade Desk, Inc.",Precio < $15 USD
NOW,"ServiceNow, Inc.",Margen Op. bajo (4.1%)
CRM,"Salesforce, Inc.",Upside consenso < 5% (5.0%)
DE,Deere & Company,Ventas estancadas (-11.1%)
FIX,"Comfort Systems USA, Inc.",Margen Op. bajo (7.9%)
ETN,"Eaton Corporation, PLC",Contracción en utilidades (-15.9%)
HON,Honeywell International Inc.,Ventas estancadas (4.3%)
WM,"Waste Management, Inc.",Ventas estancadas (4.0%)
ALAB,"Astera Labs, Inc.",PEG distorsionado
VIV,Telefonica Brasil S.A.,Precio < $15 USD
GHM,Graham Corporation,Margen Op. bajo (6.6%)
SLAB,"Silicon Laboratories, Inc.",Margen Op. bajo (-4.7%)
LASR,"nLIGHT, Inc.",Margen Op. bajo (-4.3%)
SITM,SiTime Corporation,Margen Op. bajo (10.6%)
QSR,Restaurant Brands International,Ventas estancadas (4.6%)
BABA,Alibaba Group Holding Limited,Margen Op. bajo (7.3%)
CPNG,"Coupang, Inc.",Margen Op. bajo (-6.3%)
PATH,"UiPath, Inc.",Margen Op. bajo (9.1%)
PEGA,Pegasystems Inc.,Margen Op. bajo (4.6%)
PRCT,PROCEPT BioRobotics Corporation,Margen Op. bajo (-32.0%)
OMCL,"Omnicell, Inc.",Margen Op. bajo (5.9%)
OII,"Oceaneering International, Inc.",Margen Op. bajo (11.5%)
PTC,PTC Inc.,Ventas estancadas (-6.8%)
QCOM,QUALCOMM Incorporated,Ventas estancadas (-4.0%)
AVAV,"AeroVironment, Inc.",Margen Op. bajo (2.8%)
KTOS,Kratos Defense & Security Solut,Margen Op. bajo (-0.2%)
NOC,Northrop Grumman Corporation,Margen Op. bajo (11.6%)
GD,General Dynamics Corporation,Margen Op. bajo (10.4%)
LHX,"L3Harris Technologies, Inc.",Margen Op. bajo (9.7%)
IREN,IREN LIMITED,Cripto/Apalancado/Volátil
ARM,Arm Holdings plc,Margen Op. bajo (7.6%)
CRDO,Credo Technology Group Holding ,PEG distorsionado
AMKR,"Amkor Technology, Inc.",Margen Op. bajo (10.5%)
PWR,"Quanta Services, Inc.",Margen Op. bajo (7.2%)
CCJ,Cameco Corporation,Margen Op. bajo (9.1%)
BWXT,"BWX Technologies, Inc.",Margen Op. bajo (10.4%)
UUUU,Energy Fuels Inc,Precio < $15 USD
TMQ,Trilogy Metals Inc.,Cripto/Apalancado/Volátil
UAMY,United States Antimony Corporat,Cripto/Apalancado/Volátil
MP,MP Materials Corp.,Margen Op. bajo (-14.7%)
FCX,"Freeport-McMoRan, Inc.",Ventas estancadas (-7.3%)
TECK,Teck Resources Ltd,Upside consenso < 5% (-21.4%)
SCCO,Southern Copper Corporation,Upside consenso < 5% (-13.8%)
IONQ,"IonQ, Inc.",Margen Op. bajo (-408.2%)
RGTI,"Rigetti Computing, Inc.",Cripto/Apalancado/Volátil
COIN,"Coinbase Global, Inc.",Margen Op. bajo (-13.9%)
DDOG,"Datadog, Inc.",Margen Op. bajo (0.7%)
RXRX,"Recursion Pharmaceuticals, Inc.",Precio < $15 USD
POET,POET Technologies Inc.,Cripto/Apalancado/Volátil
RBLX,Roblox Corporation,Margen Op. bajo (-13.3%)
CRCL,"Circle Internet Group, Inc.",Margen Op. bajo (4.9%)
BMNR,"BitMine Immersion Technologies,",Margen Op. bajo (8.4%)
ACHR,Archer Aviation Inc.,Precio < $15 USD
BEAM,Beam Therapeutics Inc.,Margen Op. bajo (-25827.1%)
